,bw
4225,1747.4308
4232,1737.868
4239,1757.4094
4246,1757.4094
4253,1760.6989
4260,1752.3579
4267,1752.3579
4274,1703.4613
4281,1609.2794
4288,1609.2794
4295,1655.8267
4302,1741.8193
4309,1741.8193
4316,1702.7457
4323,1689.2523
4330,1689.2523
4337,1663.3417
4344,1662.7958
4351,1674.9292
4358,1674.9292
4365,1771.6744
4372,1746.5956
4379,1746.5956
4386,1728.6936
4393,1723.365
4400,1723.365
4407,1725.7089
4414,1729.5215
4421,1729.5215
4428,1735.4636
4435,1799.0279999999998
4442,1799.0279999999998
4449,1754.9248
4456,1741.3148
4463,1741.3148
4470,1734.1688
4477,1800.5583
4484,1800.5583
4491,1799.836
4498,1830.4164
4505,1830.4164
4512,1813.7086
4519,1792.2294
4526,1792.2294
4533,1834.4995
4540,1767.7946
4547,1767.7946
4554,1776.1465
4561,1719.9192
4568,1719.9192
4575,1816.1632
4582,1832.0726
4589,1832.0726
4596,1879.1470000000002
4603,1800.1204
4610,1800.1204
4617,1810.3948
4624,1775.9911
4631,1775.9911
4638,1783.855
4645,1732.4286
4652,1732.4286
4659,1730.7737
4666,1792.4314
4673,1792.4314
4680,1804.9209
4687,1717.4913
4694,1717.4913
4701,1725.723
4708,1757.8555
4715,1757.8555
4722,1776.4602
4729,1742.7388
4736,1742.7388
4743,1708.9858
4750,1766.7382
4757,1814.6904
4764,1814.6904
4771,1797.6333
4778,1770.3593
4785,1770.3593
4792,1773.6603
4799,1898.3783
4806,1898.3783
4813,1849.0610000000001
4820,1809.3467
4827,1809.3467
4834,1833.8949
4841,1781.8645
4848,1781.8645
4855,1741.5901
4862,1733.2845
4869,1733.2845
4876,1716.5066
4883,1707.2892
4890,1707.2892
4897,1718.7847
4904,1771.244
4911,1771.244
4918,1805.9802
4925,1846.489
4932,1846.489
4939,1810.6470000000002
4946,1747.7493
4953,1747.7493
4960,1745.864
4967,1754.0377
4974,1754.0377
4981,1749.1611
4988,1622.0996
4995,1622.0996
5002,1656.1981
5009,1782.1732
5016,1782.1732
5023,1701.3737
5030,1686.9384
5037,1686.9384
5044,1749.3362
5051,1714.4884
5058,1714.4884
5065,1648.8545
5072,1583.6067
